time,IL
6.415179403623234e-06,0.0001
6.419616952660085e-06,0.0001
6.428492050733787e-06,0.0001
6.431168281793133e-06,0.0001
6.436520743911824e-06,0.0001
6.437952937252624e-06,0.0001
6.440817323934224e-06,0.0001
6.445155994742261e-06,0.0001
6.448817396642541e-06,0.0001
6.452377695629448e-06,0.0001
6.455568421145802e-06,0.0001
6.458818972831667e-06,0.0001
6.462782023223381e-06,0.0001
6.466988855979227e-06,0.0001
6.471225334503195e-06,0.0001
6.475889855592169e-06,0.0001
6.481399947876023e-06,0.0001
6.488846603925415e-06,0.0001
6.50070547982956e-06,0.0001
6.511719596733542e-06,0.0001
6.52358102505487e-06,0.0001
6.537687786792002e-06,0.0001
6.554086215574392e-06,0.0001
6.573704133494131e-06,0.0001
6.598704952515428e-06,0.0001
6.631403933405185e-06,0.0001
6.672368019699828e-06,0.0001
6.732953845552695e-06,0.0001
6.832953845552695e-06,0.0001
6.932953845552695e-06,0.0001
7.032953845552695e-06,0.0001
7.132953845552694e-06,0.0001
7.232953845552694e-06,0.0001
7.332953845552694e-06,0.0001
7.432953845552694e-06,0.0001
7.50001e-06,0.0001
7.5000490625e-06,0.0001777343749978528
7.500091824327108e-06,0.0002628304109423152
7.500111893036819e-06,0.0003027671432681883
7.500133899190894e-06,0.0003465593898771664
7.500155948711125e-06,0.0003904379351376021
7.500189038131166e-06,0.0004562858810178379
7.500218626962563e-06,0.0005151676554993539
7.500245271841317e-06,0.0005681909642198075
7.50027642678058e-06,0.0006301892933534174
7.500325544643138e-06,0.0007279338398429537
7.500361389456095e-06,0.0007992650176270178
7.500395063833456e-06,0.000866277028574948
7.500433312446904e-06,0.000942391769336859
